cluster_id,behavior_signature,medoid_legacy_id,member_count,selected_seed,recheck_candidates_selected,selection_reason
cluster_01a0758a5a7eadd883e9,"mdl177_growthanalystmodel_qga_opmarginsales_alt::group_neutralize(ts_mean(field#field/cap,#),subindustry)",legacy_907ba6126e57132d9dd2ce92,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_01a9331baa5dad516691,"anl4_fs_detail_estimates_advanced_af_nd_ebitda_high::group_neutralize(ts_zscore(field/cap,#)+(ts_rank(vwap/close,#)),market)",legacy_82030c4755e4688efca823dd,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_01ac9e795f84fa77cb29,"anl4_fs_detail_estimate_1qf_v4_nd_totassets_high::group_neutralize(ts_zscore(field/cap,#),industry)",legacy_4c048e5382af7dca5f1fbd5a,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_01adc06ca1c15fbd692d,"sga_expense::rank(ts_mean((field/cap),#))rank((field/cap))",legacy_0f2198a10e773cee0ac9bc27,2,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_01af16c0e216af273f8a,"fnd6_cptnewqv1300_epsfxq::group_neutralize(ts_zscore(field#field/cap,#)*rank(ts_mean(volume,#)/field#),sector)",legacy_ef337b89f70bc8bbf896726d,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_01b5d047f78cf6e824e7,"mdl177_valanalystmodel_qva_capexdep::(group_rank(ts_delta(field#field,#)/cap,sector))*rank(ts_mean(volume,#)/field#)",legacy_2304eac64dc4d9449a7cb701,2,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_01d9bf9e5770fb95b100,anl4_fs_detail_estimates_advanced_af_nd_totassets_mean::rank(field/cap),legacy_0b974a07bbe805925f2d07d7,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_01e3fd816f99fa30d9c9,"ebit::rank(ts_rank(field/close,#))",legacy_530a1613c3d82d169f2c3c15,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_01f31b55044b714bdf34,"fnd6_cptnewqv1300_saleq::rank(ts_mean((field#field/cap),#))",legacy_3d76198c8e385174332c403d,4,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_01fd0d78a512c387f4f6,"fnd6_drc::(group_rank(ts_delta(field,#)/cap,sector))*rank(ts_mean(volume,#)/field#)",legacy_c95f9359c234146b47464671,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_0219b2d664c150498c48,"deferred_local_income_tax_expense::group_neutralize(rank(field/cap),industry)",legacy_3c9a074be4cef4d988212f23,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_02213f9abe5a1840f3dc,"anl4_qfv4_eps_low::group_zscore(ts_zscore(field,#),sector)",legacy_c0fef52348a1f01769faf0e7,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_02349175427f1d05960a,"fnd6_newa2v1300_opeps::group_neutralize(ts_zscore(ts_delta(field#field,#)/cap,#)*rank(ts_mean(volume,#)/field#),market)",legacy_318196205a4ab634b6480bf5,2,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_023c84dcc4a71ba9dfb0,"fnd6_txo::group_rank((field/cap),subindustry)",legacy_c6deaee43d24b333cb9548be,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_02496ce87c7d93872dfb,"cashflow_op|fnd6_fopo::group_rank((field/cap)-(field/cap),subindustry)",legacy_6400e9147cecedf4d3023216,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_025f418916db3df81ae6,"fscore_bfl_surface_accel::group_neutralize(ts_rank(field,#),industry)",legacy_8ce0491bf8d3e1942702e97b,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_02608731ab5aa3e0eeb8,"mdl177_valuemomemtummodel_vma_composite::group_rank(field#field,subindustry)",legacy_521b62b7be6f2a1f4ec4a390,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_0264f5634efc1dce0d1c,"fnd6_cisecgl::ts_rank((field/cap),#)",legacy_891131484eeeb7953f50328b,2,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_0273fb060f0ae7edb797,"operating_profit_before_depr_amort_max_guidance_qtr::group_neutralize(rank(ts_mean(volume,#)/field#)*ts_zscore(field/cap,#),subindustry)",legacy_e152c13a9397632aa616e97d,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_028733932f66b675906b,"three_month_change_gross_profit_margin::ts_rank(field/cap,#)",legacy_066c5ff218dc6e27c9a7051c,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_0287983934b33e65e30b,"deferred_income_tax_expense_amount::group_neutralize(rank(ts_zscore(field/cap,#)),subindustry)",legacy_7e8dbfb0202f690ae07570fc,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_028c35fcada14a7db0c5,"intangible_assets_amortization_total|max_total_assets_guidance_2::group_neutralize(ts_corr(rank(field/cap),rank(field/cap),#),sector)",legacy_f6f189c7f62b4fbe1b5994d8,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_028e6276345abc4ba57f,"mdl177_valanalystmodel_qva_yoychgshares::group_neutralize(ts_zscore(field#field,#)+ts_decay_linear(zscore(vwap/close),#),market)",legacy_a883d8b7002ebc0139136a2b,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_02c02cd194278b09bb35,"bookvalue_ps::group_rank(ts_mean((field/cap),#),subindustry)",legacy_2748f837643230bc06456dc6,2,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_02c0feae534f8d597c25,"anl4_fs_detail_estimate_1qf_v4_nd_totassets_mean::group_neutralize(#-ts_rank(field/cap,#),industry)",legacy_26b557b7562d3a2bd0166c93,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_02d6a75750318748ad64,"anl4_fs_actual_1qf_v4_nd_ebitda_value::group_neutralize(ts_zscore(field/cap,#)*rank(ts_mean(volume,#)/field#),industry)",legacy_d7024eb96ec8302555ccab79,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_02e4553da0a3905b535a,"ppent::group_rank((field/cap),industry)",legacy_e2e37a9bee07becfe36c79f2,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_02eeb37dd45348f9d13b,"fnd6_newa2v1300_rdipeps|fnd6_newqv1300_rdipepsq::group_neutralize(rank(field#field/cap)rank(field#field/cap),industry)",legacy_208c3535001d9e12a24d7098,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_02f5296aa7a6c1b23d87,"fnd6_dlto::rank(ts_mean((field/cap),#))",legacy_020640caed53187c45d4f96a,3,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_02fc55cc485d719dba1a,"mdl53_jc6_6month::group_neutralize(ts_rank(field#field,#),market)",legacy_529cabe0b1af5514c36837b0,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_03045ad9a2f9091b9dec,"assets_fair_value_lvl2::group_neutralize((ts_zscore(field/cap,#)-ts_zscore(field/cap,#))*rank(ts_mean(volume,#)/field#),sector)",legacy_f98f59ee4d39d8a33e939d82,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_0316008a0bc2251e4cd4,"mdl177_valanalystmodel_qva_yoychgdebt::(group_rank(field#field/cap,market))*rank(ts_mean(volume,#)/field#)",legacy_a1bfd328cf0d0200f982d875,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_031e1b8d532d72c46ab6,"capex_to_total_assets::group_rank(field/cap,subindustry))+(rank(ts_delta(close,#))",legacy_555fe60836fdf1197b2c2029,6,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_0335399083d193cc368f,"probability_dist_cc_or_c::group_neutralize(ts_rank(field,#),sector)",legacy_e5c61d6c68a70325fb2501ac,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_0338d6e4a54e5dea7bfb,"implied_volatility_call_360::group_rank(field#/cap,subindustry)",legacy_c1e445694a80a9d7558645f4,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_03403e641efb12d353d9,"mdl77_400_curindebitdap_::group_neutralize(ts_rank(ts_delta(field#field#field,#)/cap,#),subindustry)",legacy_b7daa707b324284de2857795,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_0342dcff0c0c5850b63a,"anl4_fs_guidances_advanced_af_nd_ebitda_maxguidance::group_neutralize(ts_zscore(ts_delta(field,#)/cap,#)*rank(ts_mean(volume,#)/field#),market)",legacy_4d4d2b1d757d41efa51aeddf,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_03461dbba4317a946357,"fnd6_newqv1300_wcapq::rank(ts_delta((field#field/cap),#))",legacy_c71dd844cadcffdc78042828,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_03499e95d2939d10f109,"mdl177_2_industryrrelativevaluefactor_curindebitdap_|mdl177_deepvaluefactor_ebitdaev_alt::group_neutralize(rank(field#field/cap)rank(field#field/cap),sector)",legacy_eb8b2b256205e82dc26cddb7,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
cluster_0353fae388a8b2a779d2,"fnd6_newqv1300_wcapq::group_neutralize(rank(field#field/cap),bucket(rank(cap),field=""#,#,#""))",legacy_1f926af1baea0efc7ce5c52c,1,0,0,RUN_BLOCKED_GATE_SNAPSHOT_STALE_OR_MISSING
