候选ID,策略家族,来源,分数,表达式,alpha_id,status,sharpe,fitness,turnover,returns,margin,drawdown,error,处理时间
proven_1,基本面价值,,,"group_neutralize(ts_zscore(anl14_median_revenue_fy4/cap,126)*rank(ts_mean(volume,63)/adv20),sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:19:38.639731+00:00
proven_2,基本面价值,,,"group_neutralize(ts_zscore(anl14_numofests_revenue_fy5/cap,126)*rank(ts_mean(volume,63)/adv20),market)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:19:43.694552+00:00
proven_3,基本面价值,,,"group_neutralize(ts_zscore(anl14_median_sales_fy4/cap,126)*rank(ts_mean(volume,63)/adv20),sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:19:46.772598+00:00
proven_4,基本面价值,,,"group_neutralize(ts_zscore(anl14_stddev_revenue_fy5/cap,126)*rank(ts_mean(volume,63)/adv20),market)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:19:49.579712+00:00
proven_5,基本面价值,,,"group_neutralize(ts_zscore(anl14_mean_ebitda_fy3/cap,126)*rank(ts_mean(volume,63)/adv20),sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:19:53.487551+00:00
proven_6,基本面价值,,,"group_neutralize(ts_zscore(anl14_numofests_ebitda_fy3/cap,126)*rank(ts_mean(volume,63)/adv20),market)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:19:56.290524+00:00
proven_7,现金流,,,"group_neutralize(ts_zscore(anl14_median_fcf_fy4/cap,126)*rank(ts_mean(volume,63)/adv20),sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:19:59.093461+00:00
proven_8,基本面价值,,,"group_neutralize(ts_zscore(anl14_stddev_sales_fy4/cap,126)*rank(ts_mean(volume,63)/adv20),market)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:20:01.903189+00:00
proven_9,分析师创新,,,"group_neutralize(ts_zscore(ts_delta(anl10_analyst_innovation_eps_normal_increase_fy1,126)/cap,126)*rank(ts_mean(volume,63)/adv20),sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:20:04.714749+00:00
proven_10,分析师创新,,,"group_neutralize(ts_zscore(ts_delta(anl10_analyst_innovation_eps_normal_decrease_fy1,126)/cap,126)*rank(ts_mean(volume,63)/adv20),sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:20:07.829546+00:00
proven_11,基本面价值,,,"group_neutralize(ts_zscore(anl14_median_capex_fy3/cap,126)*rank(ts_mean(volume,63)/adv20),sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:20:10.637116+00:00
proven_12,基本面价值,,,"group_neutralize(ts_zscore(anl14_numofests_ni_fy4/cap,126)*rank(ts_mean(volume,63)/adv20),market)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:20:13.747583+00:00
proven_13,基本面价值,,,"group_neutralize(ts_zscore(anl14_mean_revenue_fy5/cap,126)*rank(ts_mean(volume,63)/adv20),sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:20:16.556474+00:00
proven_14,现金流,,,"group_neutralize(ts_zscore(anl14_stddev_fcf_fy3/cap,126)*rank(ts_mean(volume,63)/adv20),market)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:20:19.418995+00:00
proven_15,基本面价值,,,"group_neutralize(ts_zscore(anl14_median_ni_fy5/cap,126)*rank(ts_mean(volume,63)/adv20),sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:20:22.509128+00:00
exact_copy_1,arch_hybrid_z_liq,,,"group_neutralize(ts_zscore(anl14_stddev_ebitda_fy4/cap,126)*rank(ts_mean(volume,63)/adv20),sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:20:42.522604+00:00
exact_copy_2,arch_hybrid_z_liq,,,"group_neutralize(ts_zscore(anl14_median_ebitda_fy5/cap,126)*rank(ts_mean(volume,63)/adv20),market)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:20:46.508178+00:00
exact_copy_3,arch_hybrid_z_liq,,,"group_neutralize(ts_zscore(anl14_median_ebitda_fy4/cap,126)*rank(ts_mean(volume,63)/adv20),sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:20:49.339174+00:00
exact_copy_4,arch_delta_liquid,,,"group_neutralize(ts_zscore(ts_delta(anl10_analyst_innovation_eps_normal_decrease_fy1,126)/cap,126)*rank(ts_mean(volume,63)/adv20),sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:20:52.157863+00:00
exact_copy_5,arch_delta_liquid,,,"group_neutralize(ts_zscore(ts_delta(anl10_analyst_innovation_eps_normal_increase_fy2,126)/cap,126)*rank(ts_mean(volume,63)/adv20),sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:20:54.970464+00:00
