alpha_id,sync_id,eligibility_status,reasons,source
0mMmL7Wp,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mMmLN1K,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mMn6Eep,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mMnWVbG,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mMnZEYG,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mMnxn0k,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mMv2Y5v,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mMvXpZ2,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mz0RZ56,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mz0bxeq,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mz0kORv,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mz0mlvp,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mz0mv1G,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mz0mz91,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mz158E8,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mz1ka26,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mz23E32,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
