2026-05-16T14:14:06Z [supervisor] start max_restarts=200 loop_args=['--batch-size', '120', '--inter-cycle-sleep', '120', '--resilient-async', '--no-prebatch-recheck']
2026-05-16T16:09:10Z [supervisor] launch restart#0 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:09:10Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:09:10Z [supervisor] restart in 90s (attempt 1)
2026-05-16T16:10:40Z [supervisor] launch restart#1 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:10:40Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:10:40Z [supervisor] restart in 90s (attempt 2)
2026-05-16T16:12:10Z [supervisor] launch restart#2 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:12:10Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:12:10Z [supervisor] restart in 90s (attempt 3)
2026-05-16T16:13:40Z [supervisor] launch restart#3 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:13:40Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:13:40Z [supervisor] restart in 90s (attempt 4)
2026-05-16T16:15:10Z [supervisor] launch restart#4 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:15:10Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:15:10Z [supervisor] restart in 90s (attempt 5)
2026-05-16T16:16:40Z [supervisor] launch restart#5 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
